Object,PosX,PosY,PosZ,Gmeans_5__03_29_0,Ch_1_Mean,Ch_2_Mean,Ch_3_Mean,Ch_4_Mean,Ch_1_Min,Ch_2_Min,Ch_3_Min,Ch_4_Min,Ch_1_SD,Ch_2_SD,Ch_3_SD,Ch_4_SD,Ch_1_Max,Ch_2_Max,Ch_3_Max,Ch_4_Max,Ch_1_Sum,Ch_2_Sum,Ch_3_Sum,Ch_4_Sum,Ch_1_Count,Ch_2_Count,Ch_3_Count,Ch_4_Count,Ch_1_MeanThresh,Ch_2_MeanThresh,Ch_3_MeanThresh,Ch_4_MeanThresh
579.0,70.0,264.5,30.5,0,753.3595505617977,141.53932584269663,671.4831460674158,83.65168539325843,534.0,96.0,255.0,51.0,193.4630718339603,24.588456354638936,263.53044986902677,15.331267162533853,1299.0,220.0,1419.0,125.0,67049.0,12597.0,59762.0,7445.0,89,89,89,89,1158.4,201.0,1254.5714285714287,112.4
580.0,11.5,59.5,9.5,0,654.3474576271186,186.09322033898306,265.16101694915255,190.1864406779661,536.0,134.0,129.0,112.0,84.99325032212087,24.706477675165043,186.44194212561814,52.52658246883596,927.0,241.0,1267.0,350.0,77213.0,21959.0,31289.0,22442.0,118,118,118,118,873.3333333333334,225.46666666666667,1094.0,309.5
581.0,74.0,102.5,31.0,2,800.8636363636364,190.47860962566844,529.783422459893,435.6898395721925,533.0,102.0,167.0,130.0,196.2169290142459,30.719754142512635,311.21456033783426,125.75553992338438,1544.0,332.0,1640.0,916.0,299523.0,71239.0,198139.0,162948.0,374,374,374,374,1418.75,297.875,1411.8125,803.8571428571429
582.0,17.5,37.0,7.5,0,675.9,188.65,629.95,116.35,533.0,141.0,304.0,78.0,135.2665594493449,21.969536324551537,330.67896261448124,30.975839481424025,949.0,229.0,1642.0,204.0,13518.0,3773.0,12599.0,2327.0,20,20,20,20,897.25,220.66666666666666,1642.0,204.0
583.0,94.0,188.5,27.0,1,929.5353535353536,217.07070707070707,809.020202020202,504.17171717171715,537.0,171.0,257.0,330.0,237.63208198901714,29.303566866980592,341.4578881555268,126.42574979934803,1463.0,296.0,1807.0,1010.0,92024.0,21490.0,80093.0,49913.0,99,99,99,99,1323.875,275.8888888888889,1588.4285714285713,930.0
584.0,91.5,155.5,26.0,0,845.4230769230769,157.53846153846155,430.88461538461536,89.61538461538461,534.0,117.0,216.0,71.0,248.40324846135536,24.40529576830532,123.17153142608137,8.400366292379983,1499.0,207.0,717.0,105.0,21981.0,4096.0,11203.0,2330.0,26,26,26,26,1499.0,200.66666666666666,664.5,101.4
585.0,23.5,59.0,10.0,1,746.8992805755396,176.431654676259,596.1942446043165,163.74820143884892,536.0,104.0,243.0,89.0,144.13194915630132,29.40572022625554,317.8460997952329,56.684876893937655,1258.0,235.0,1883.0,328.0,103819.0,24524.0,82871.0,22761.0,139,139,139,139,1157.75,218.78571428571428,1726.6666666666667,298.25
586.0,30.0,167.5,9.5,1,1000.7323943661971,328.76056338028167,506.7793427230047,109.24413145539906,530.0,142.0,238.0,66.0,327.3648053552454,96.06328468167251,223.51865218176061,20.204766059764406,2099.0,732.0,1445.0,202.0,213156.0,70026.0,107944.0,23269.0,213,213,213,213,1895.3333333333333,677.75,1298.2,184.33333333333334
587.0,110.0,135.0,27.5,0,642.8023255813954,151.7325581395349,384.6046511627907,198.7093023255814,531.0,86.0,183.0,64.0,84.44654693145061,29.92005993175999,139.80341484256238,80.52107744217474,860.0,216.0,827.0,386.0,55281.0,13049.0,33076.0,17089.0,86,86,86,86,833.2857142857143,194.83333333333334,792.25,351.6
588.0,34.0,188.0,10.0,1,1087.2820512820513,85.00854700854701,335.44444444444446,74.28205128205128,540.0,50.0,95.0,48.0,495.31950409870154,20.500418720070137,379.7971655675962,11.949495844109155,2600.0,148.0,2345.0,102.0,127212.0,9946.0,39247.0,8691.0,117,117,117,117,2361.714285714286,133.4,2042.0,94.85714285714286
589.0,134.5,202.5,27.5,0,638.5584415584416,198.35064935064935,323.5194805194805,233.54545454545453,530.0,132.0,209.0,141.0,92.895172032851,41.1789311975529,154.93696599361152,51.97634721540616,923.0,312.0,1116.0,388.0,49169.0,15273.0,24911.0,17983.0,77,77,77,77,864.0,289.6666666666667,1055.0,359.4
590.0,42.5,200.0,10.5,1,1007.7751479289941,182.95857988165682,512.7633136094674,253.90532544378698,530.0,106.0,221.0,137.0,329.01322031280597,26.217350450377808,253.53989697951522,88.04316058747973,2052.0,245.0,1581.0,531.0,170314.0,30920.0,86657.0,42910.0,169,169,169,169,1829.5,223.8,1360.3333333333333,470.8
591.0,60.5,210.5,7.5,2,1161.0717488789237,208.93273542600897,777.8161434977578,459.5919282511211,538.0,150.0,197.0,211.0,351.1050050321689,28.37712495765061,440.901265028781,123.40236439451628,2052.0,306.0,2089.0,883.0,258919.0,46592.0,173453.0,102489.0,223,223,223,223,1793.1904761904761,284.42857142857144,1875.3846153846155,808.8
592.0,140.0,177.5,25.5,0,752.8095238095239,210.26190476190476,343.4047619047619,323.0238095238095,540.0,164.0,193.0,191.0,134.5611182371458,23.757986614835623,51.51843597260964,53.376476089825495,1042.0,269.0,460.0,423.0,31618.0,8831.0,14423.0,13567.0,42,42,42,42,973.5,258.5,431.0,394.8
